datetime,open,high,low,close,slow,fast,Volume,Volume MA
2023-07-03T12:52:00-04:00,15347.75,15348.75,15342.25,15343.25,15348.84857,15346.59722,570,484.35
2023-07-03T12:53:00-04:00,15343.5,15347.5,15342.75,15346.25,15347.80748,15345.31574,404,470.4
2023-07-03T12:54:00-04:00,15346,15353.5,15345.75,15352.5,15347.69224,15346.67222,831,478.4
2023-07-03T12:55:00-04:00,15352.5,15354.5,15352,15353.25,15348.39739,15349.73704,731,495.05
2023-07-03T12:56:00-04:00,15353.5,15358,15353.5,15355,15349.92196,15353.45278,865,518.65
2023-07-03T12:57:00-04:00,15354.75,15358.5,15354.75,15357.25,15351.97947,15356.67315,706,534.7
2023-07-03T12:58:00-04:00,15357.5,15365,15357.25,15364.75,15355.09857,15360.8713,1102,574.1
2023-07-03T12:59:00-04:00,15365,15367,15359,15364.75,15358.65202,15364.71019,2968,711.3
2023-07-03T13:00:00-04:00,15364.75,15366,15350.5,15352.25,15360.4684,15363.55185,1810,785.1
2023-07-03T13:01:00-04:00,15352.75,15356.25,15352.5,15355.75,15361.14677,15360.2713,454,789.8
2023-07-03T13:02:00-04:00,15356,15357,15353,15354.75,15360.65353,15356.32407,387,783.7
2023-07-03T13:03:00-04:00,15355.25,15363.25,15355,15358.5,15360.02306,15355.04722,527,784
2023-07-03T13:04:00-04:00,15358.75,15359,15356.75,15358.5,15359.54824,15355.93796,306,776.35
2023-07-03T13:05:00-04:00,15358.25,15360,15356.5,15358.75,15359.14201,15357.53796,311,767.05
2023-07-03T13:06:00-04:00,15358.5,15359,15355.75,15357.25,15358.59338,15358.33241,287,765.7
2023-07-03T13:07:00-04:00,15357.5,15358.25,15356,15356,15357.89465,15357.86574,204,746.2
2023-07-03T13:08:00-04:00,15355.75,15358.5,15355,15355,15357.20266,15356.59907,169,727.9
2023-07-03T13:09:00-04:00,15355.5,15356,15351.75,15355.25,15356.54692,15355.34259,200,712.3
2023-07-03T13:10:00-04:00,15355.25,15356.5,15354.25,15355,15355.9521,15354.55648,143,663.2
2023-07-03T13:11:00-04:00,15355.25,15358.5,15355.25,15356.5,15355.58391,15354.74815,226,660.05
2023-07-03T13:12:00-04:00,15356.75,15358,15356.5,15357.75,15355.5855,15355.83148,83,635.7
2023-07-03T13:13:00-04:00,15358,15359.5,15356.5,15357.5,15355.84238,15357.00833,207,625.85
2023-07-03T13:14:00-04:00,15357.25,15357.75,15355,15357,15356.21464,15357.675,131,590.85
2023-07-03T18:00:00-04:00,15357,15359.25,15342.5,15345.25,15355.05647,15354.22037,219,565.25
2023-07-03T18:01:00-04:00,15345,15345.75,15342,15344.75,15352.82919,15348.98241,55,524.75
2023-07-03T18:02:00-04:00,15344,15349.75,15344,15348,15350.53378,15345.20741,76,493.25
2023-07-03T18:03:00-04:00,15346.5,15348,15345,15345,15348.12725,15343.11852,21,439.2
2023-07-03T18:04:00-04:00,15345.5,15347.75,15345,15346.75,15346.29696,15343.33889,31,292.35
2023-07-03T18:05:00-04:00,15346.5,15346.5,15345,15346.25,15344.93086,15344.23241,28,203.25
2023-07-03T18:06:00-04:00,15345.75,15347.25,15345,15347.25,15344.15027,15345.43796,44,182.75
2023-07-03T18:07:00-04:00,15347.25,15347.5,15346.5,15346.5,15343.89222,15346.27037,9,163.85
2023-07-03T18:08:00-04:00,15346.5,15346.75,15346,15346,15344.04677,15346.51481,11,138.05
2023-07-03T18:09:00-04:00,15346.75,15348.5,15346.75,15348,15344.65447,15346.94167,13,123.4
2023-07-03T18:10:00-04:00,15348.5,15348.5,15342.75,15344.25,15344.93284,15346.32685,96,112.65
2023-07-03T18:11:00-04:00,15343.25,15345.5,15343,15343.5,15344.86867,15345.11944,55,101.05
2023-07-03T18:12:00-04:00,15343.75,15345.25,15343.75,15344.75,15344.69444,15344.16019,15,91.6
2023-07-03T18:13:00-04:00,15344.5,15345.25,15344.5,15345.25,15344.54837,15343.91296,6,83.45
2023-07-03T18:14:00-04:00,15345.25,15345.25,15344.25,15344.25,15344.38315,15344.01389,4,73.65
2023-07-03T18:15:00-04:00,15344.5,15345,15344.25,15344.75,15344.28039,15344.30556,7,66.85
2023-07-03T18:16:00-04:00,15344.75,15345,15344.25,15345,15344.22915,15344.59074,11,56.1
2023-07-03T18:17:00-04:00,15345,15345.75,15344.75,15345,15344.23625,15344.825,21,53
2023-07-03T18:18:00-04:00,15344.25,15344.5,15343.5,15344.5,15344.30255,15344.86944,17,43.5
2023-07-03T18:19:00-04:00,15344,15344,15342.5,15343.25,15344.21076,15344.37037,29,38.4
2023-07-03T18:20:00-04:00,15342.75,15343.75,15342,15342.5,15343.8933,15343.44722,27,28.8
2023-07-03T18:21:00-04:00,15342.5,15343.25,15341.75,15343.25,15343.54904,15342.78426,24,27.25
2023-07-03T18:22:00-04:00,15342.75,15344.25,15342.5,15342.5,15343.15039,15342.33519,52,26.05
2023-07-03T18:23:00-04:00,15342.75,15342.75,15342.25,15342.25,15342.74052,15342.09074,4,25.2
2023-07-03T18:24:00-04:00,15342.75,15343.75,15342.75,15343.75,15342.56665,15342.41481,10,24.15
2023-07-03T18:25:00-04:00,15343.25,15343.75,15343,15343.75,15342.57379,15342.98611,6,23.05
2023-07-03T18:26:00-04:00,15343.5,15343.5,15343.5,15343.5,15342.69704,15343.5037,1,20.9
2023-07-03T18:28:00-04:00,15344,15344,15343.5,15343.5,15342.89761,15343.76667,9,20.9
2023-07-03T18:29:00-04:00,15344,15344,15343.5,15343.5,15343.10423,15343.76944,3,20.5
2023-07-03T18:30:00-04:00,15343.25,15343.5,15342.5,15343,15343.22108,15343.52037,23,21
2023-07-03T18:31:00-04:00,15343,15343.5,15343,15343.5,15343.33601,15343.375,10,16.7
2023-07-03T18:32:00-04:00,15343.5,15343.5,15342,15342,15343.23164,15342.89537,31,15.5
2023-07-03T18:33:00-04:00,15342,15342,15337.5,15338.5,15342.51117,15341.28889,89,19.2
2023-07-03T18:34:00-04:00,15337.75,15338,15335.5,15337,15341.25296,15338.93796,52,21.5
2023-07-03T18:35:00-04:00,15337.25,15339.25,15336.25,15339.25,15340.05629,15337.49074,41,23.35
2023-07-03T18:36:00-04:00,15339.25,15341.25,15338.75,15341.25,15339.35123,15337.8213,36,24.8
2023-07-03T18:37:00-04:00,15341,15341.25,15339.5,15340.5,15339.03323,15339.02685,10,24.75
2023-07-03T18:38:00-04:00,15339.75,15340.5,15339.75,15340.25,15338.97827,15340.13241,8,24.1
2023-07-03T18:39:00-04:00,15339.75,15340.75,15339.75,15340.25,15339.05482,15340.61296,10,23.75
2023-07-03T18:40:00-04:00,15340.25,15341,15340.25,15341,15339.3348,15340.84444,12,22.9
2023-07-03T18:41:00-04:00,15341,15341,15339.5,15339.5,15339.59316,15340.56574,7,21.9
2023-07-03T18:42:00-04:00,15339.75,15340.5,15339.75,15340.5,15339.90925,15340.38889,5,20.95
2023-07-03T18:43:00-04:00,15340.5,15341.25,15340.5,15341.25,15340.26019,15340.53148,6,18.65
2023-07-03T18:44:00-04:00,15341.25,15341.25,15341.25,15341.25,15340.57171,15340.89352,1,18.5
2023-07-03T18:45:00-04:00,15341.75,15342.25,15341.5,15341.5,15340.90035,15341.36667,11,18.55
2023-07-03T18:46:00-04:00,15341.25,15341.25,15341.25,15341.25,15341.16489,15341.59815,1,18.3
2023-07-03T18:47:00-04:00,15341,15341,15341,15341,15341.32406,15341.53056,1,18.3
2023-07-03T18:48:00-04:00,15341.25,15341.25,15341.25,15341.25,15341.42298,15341.38611,1,17.9
2023-07-03T18:50:00-04:00,15341.25,15341.25,15340.5,15340.75,15341.41005,15341.12778,7,18.1
2023-07-03T18:51:00-04:00,15340.5,15340.5,15339.75,15340,15341.2124,15340.66019,9,17.4
2023-07-03T18:52:00-04:00,15339.25,15339.75,15338.5,15338.5,15340.71481,15339.725,30,18.4
