time,open,high,low,close,Plot,Plot,Volume,Volume MA
2023-07-02T21:01:00-04:00,15334.75,15335.25,15334.25,15334.5,15335.092994281047,15335.212962962964,31,37.1
2023-07-02T21:02:00-04:00,15334.5,15335,15333.25,15334.25,15334.933026960784,15334.94351851852,50,37.75
2023-07-02T21:03:00-04:00,15334.25,15335,15333.75,15334,15334.693218954248,15334.411111111112,38,37.75
2023-07-02T21:04:00-04:00,15333.25,15333.25,15330.75,15332,15334.175245098037,15333.360185185185,97,40.75
2023-07-02T21:05:00-04:00,15332.5,15333.75,15331.5,15333.25,15333.706352124183,15332.69722222222,68,42.4
2023-07-02T21:06:00-04:00,15333,15333.25,15332.25,15332.75,15333.23815359477,15332.302777777777,28,39.7
2023-07-02T21:07:00-04:00,15333.25,15333.25,15332.25,15332.75,15332.825653594773,15332.246296296296,21,36.75
2023-07-02T21:08:00-04:00,15332.25,15334,15332.25,15333.75,15332.660580065358,15332.669444444444,23,36.2
2023-07-02T21:09:00-04:00,15334.25,15335,15333.25,15334.75,15332.803799019608,15333.510185185185,46,35.3
2023-07-02T21:10:00-04:00,15334.5,15334.5,15334.25,15334.5,15333.131454248365,15334.320370370371,5,32.95
2023-07-02T21:11:00-04:00,15334.25,15334.25,15332,15332,15333.222855392156,15334.08425925926,61,33.9
2023-07-02T21:12:00-04:00,15332.5,15333,15331.25,15333,15333.250571895423,15333.503703703704,37,33.8
2023-07-02T21:13:00-04:00,15333,15333.25,15332.5,15332.5,15333.131821895422,15332.762037037037,19,33.65
2023-07-02T21:14:00-04:00,15332.5,15333.25,15332,15333.25,15333.053165849671,15332.535185185186,28,33.55
2023-07-02T21:15:00-04:00,15333.5,15338,15333.5,15337,15333.526940359478,15333.833333333336,127,39.1
2023-07-02T21:16:00-04:00,15336.25,15338,15336.25,15338,15334.428635620914,15335.963888888893,89,42.85
2023-07-02T21:17:00-04:00,15337.5,15340,15336,15338.25,15335.57097630719,15338.04259259259,157,48.95
2023-07-02T21:18:00-04:00,15338.25,15338.25,15335.75,15336,15336.450285947712,15338.625925925924,65,51.5
2023-07-02T21:19:00-04:00,15335.5,15337,15335.25,15336.25,15337.046221405228,15338.100925925924,57,52.95
2023-07-02T21:20:00-04:00,15336,15336.25,15333.5,15334.25,15337.10222630719,15336.546296296297,43,54.5
2023-07-02T21:21:00-04:00,15334,15334.75,15333.5,15334.25,15336.78715277778,15334.992592592593,46,55.25
2023-07-02T21:22:00-04:00,15334.75,15335.5,15334.75,15334.75,15336.312111928104,15334.100925925924,18,53.65
2023-07-02T21:23:00-04:00,15334.75,15335.75,15334.5,15335.25,15335.799142156864,15334.018518518518,9,52.2
2023-07-02T21:24:00-04:00,15335,15336,15334.75,15335.75,15335.435620915032,15334.596296296295,32,48.95
2023-07-02T21:25:00-04:00,15335.5,15337.25,15335.5,15337,15335.401388888891,15335.666666666666,37,47.4
2023-07-02T21:26:00-04:00,15336.5,15338,15336.25,15337,15335.631290849673,15336.682407407405,39,47.95
2023-07-02T21:27:00-04:00,15337.25,15337.75,15336.5,15337,15336.009660947713,15337.338888888888,41,48.95
2023-07-02T21:28:00-04:00,15336.75,15336.75,15335.75,15336.5,15336.381576797383,15337.426851851851,17,48.65
2023-07-02T21:29:00-04:00,15337,15337,15336.5,15336.75,15336.697140522874,15337.228703703702,12,46.95
2023-07-02T21:30:00-04:00,15336.75,15338.5,15336.75,15337.75,15337.057720588235,15337.280555555553,74,50.4
2023-07-02T21:31:00-04:00,15338.25,15341,15338.25,15340.75,15337.802430555555,15338.432407407408,122,53.45
2023-07-02T21:32:00-04:00,15340.75,15342.75,15339,15340,15338.634027777778,15339.744444444446,138,58.5
2023-07-02T21:33:00-04:00,15340.5,15343,15340,15341,15339.542136437909,15340.991666666669,61,60.6
